date,regime,active_model,confidence,rank,ticker,sector,price,score,quality_pass,rs_20,rs_60,rs_120,rs_spy,rs_sector,post_earn_3d,earn_momentum,earn_decay,earn_events,quality_raw,ret_t1,ret_t5,ret_t20
2026-06-08,RANGE_BOUND,B3,NORMAL,1,ORCL,Technology,213.68,2.4563,VETO,0.0981,0.31,0.0746,0.0899,0.0356,0.0941,0.0719,0.6447,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,2,INTC,Technology,99.17,0.7907,VETO,-0.0953,1.0669,1.51,-0.1035,-0.1579,0.0409,0.0253,0.5422,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,3,PFE,Healthcare,26.04,0.6402,VETO,-0.0166,-0.0462,0.0093,-0.0248,-0.0739,0.0211,0.0563,0.3747,1,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,4,HD,Consumer,310.78,0.4461,VETO,-0.0368,-0.1142,-0.1306,-0.0449,0.0051,0.0251,0.0011,0.7667,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,5,JNJ,Healthcare,232.77,0.3427,VETO,0.0461,-0.0421,0.1084,0.0379,-0.0112,0.0148,0.047,0.3151,1,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,6,CAT,Industrial,904.28,0.296,VETO,0.0096,0.278,0.4454,0.0014,0.0086,0.0122,0.0092,0.7492,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,7,GS,Finance,1038.68,0.2667,VETO,0.1218,0.2609,0.1401,0.1137,0.1073,0.0111,-0.003,0.8807,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,8,IBM,Technology,284.84,0.255,VETO,0.2314,0.1445,-0.0833,0.2233,0.1689,0.0078,-0.0001,0.8909,3,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,9,CRM,Technology,185.66,0.1347,VETO,-0.0036,-0.0436,-0.2923,-0.0118,-0.0662,-0.0025,0.0005,0.9439,3,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,10,MSFT,Technology,416.67,0.1162,VETO,-0.0097,0.0291,-0.1382,-0.0179,-0.0723,0.0066,0.003,0.7492,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,11,ABBV,Healthcare,227.23,0.0778,VETO,0.121,-0.002,0.0145,0.1128,0.0637,0.0155,-0.012,0.7406,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,12,CVX,Energy,187.31,0.0772,VETO,0.0264,-0.0234,0.2428,0.0182,-0.0044,0.0124,0.0051,0.5947,2,0.0,,,
2026-06-08,RANGE_BOUND,B3,NORMAL,13,MCD,Consumer,279.84,0.0636,VETO,-0.0136,-0.1395,-0.0964,-0.0218,0.0283,0.0084,-0.0015,0.7237,2,0.0,,,
